,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,date2,time,dragon_control,baron_control
1678,ESPORTSTMNT04/1130221,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1130221?gameHash=a8580ee66ffbb525,LEC,2020,Spring,0,2020-02-01 19:44:58,1,10.02,100,Blue,team,,G2 Esports,,Jarvan IV,Gragas,Qiyana,Lissandra,Ryze,2137,1,21,9,68,21,9,3.0,0.0,0.0,0.0,1.0,,,,0.5896,0.8423,1.0,4.0,0.0,4.0,0.0,2.0,1.0,1.0,0.0,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,9.0,4.0,1.0,1.0,1.0,0.0,84853,2382.3959,,3350.482,2575.4516,135,3.7904,71,1.9934,51,326.0,9.153,62832,39657,1113.4394,,54475.0,0.00211329,,806.0,218,138,28,28.7506,13909.0,17029.0,286.0,13869.0,17787.0,296.0,40.0,-758.0,-10.0,21934.0,27070.0,450.0,21126.0,27365.0,471.0,808.0,-295.0,-21.0,2020-02-01,19:44:58,1.0,0.0
2219,ESPORTSTMNT01/1302595,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1302595?gameHash=314d39ea940b354f,LCK,2020,Spring,0,2020-02-05 06:34:49,1,10.02,200,Red,team,,DAMWON Gaming,,Rek'Sai,Elise,Akali,Orianna,Nautilus,2441,1,20,14,47,20,14,1.0,0.0,0.0,0.0,1.0,,,,0.4916,0.8357,1.0,3.0,3.0,3.0,3.0,0.0,1.0,2.0,0.0,,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,8.0,4.0,0.0,0.0,1.0,1.0,81440,2001.8025,,2832.0197,3200.8439,163,4.0066,85,2.0893,63,363.0,8.9226,75398,49122,1207.4232,,69650.0,0.0247093,,1113.0,288,218,16,34.4367,15597.0,18760.0,346.0,15541.0,19418.0,368.0,56.0,-658.0,-22.0,23452.0,29209.0,557.0,24661.0,31445.0,576.0,-1209.0,-2236.0,-19.0,2020-02-05,06:34:49,0.5,0.5
2230,ESPORTSTMNT01/1302628,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1302628?gameHash=0ab39ec364a3ff5b,LCK,2020,Spring,0,2020-02-05 09:00:00,2,10.02,100,Blue,team,,DAMWON Gaming,,Rek'Sai,Elise,Mordekaiser,Renekton,Aatrox,2870,0,10,18,23,10,18,0.0,0.0,0.0,0.0,0.0,,,,0.2091,0.5854,1.0,3.0,4.0,2.0,4.0,1.0,0.0,1.0,0.0,,1.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,7.0,9.0,1.0,1.0,0.0,1.0,88057,1840.9129,,3330.0418,5054.007,192,4.0139,102,2.1324,62,420.0,8.7805,80159,49507,1034.9895,,78408.0,-0.0262676,,1192.0,314,215,17,31.4843,15762.0,19417.0,358.0,15654.0,18817.0,341.0,108.0,600.0,17.0,24740.0,30318.0,570.0,24285.0,30853.0,559.0,455.0,-535.0,11.0,2020-02-05,09:00:00,0.42857142857142855,0.5
2243,ESPORTSTMNT01/1302635,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1302635?gameHash=5625553825f5994e,LCK,2020,Spring,0,2020-02-05 10:14:43,3,10.02,200,Red,team,,DAMWON Gaming,,Rek'Sai,Elise,Akali,Nautilus,LeBlanc,2837,0,7,9,22,7,9,0.0,0.0,0.0,0.0,0.0,,,,0.148,0.3384,1.0,2.0,5.0,2.0,4.0,1.0,0.0,1.0,0.0,,0.0,1.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,6.0,11.0,0.0,0.0,0.0,3.0,44433,939.718,,1565.2238,2360.1128,209,4.4202,112,2.3687,80,418.0,8.8403,82303,51988,1099.4995,,80750.0,-0.0346582,,1354.0,283,182,30,34.6211,15138.0,18048.0,333.0,16474.0,18448.0,334.0,-1336.0,-400.0,-1.0,23574.0,28520.0,507.0,26333.0,29801.0,522.0,-2759.0,-1281.0,-15.0,2020-02-05,10:14:43,0.2857142857142857,0.6666666666666666
2831,ESPORTSTMNT04/1120649,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1120649?gameHash=aab6f321110ef3ed,LEC,2020,Spring,0,2020-02-07 20:29:48,1,10.02,200,Red,team,,G2 Esports,,Akali,Jarvan IV,Olaf,Irelia,Braum,2325,1,20,15,57,20,15,2.0,0.0,0.0,0.0,1.0,,,,0.5161,0.9032,0.0,5.0,1.0,4.0,1.0,0.0,1.0,3.0,0.0,,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,7.0,4.0,1.0,0.0,1.0,0.0,88669,2288.2323,,3308.8258,3862.4258,153,3.9484,74,1.9097,51,363.0,9.3677,66650,41557,1072.4387,,58558.0,-0.032953199999999995,,905.0,232,158,10,29.3419,14980.0,17809.0,308.0,14251.0,17843.0,306.0,729.0,-34.0,2.0,22722.0,28181.0,509.0,23723.0,28733.0,502.0,-1001.0,-552.0,7.0,2020-02-07,20:29:48,0.8333333333333334,0.0
2975,ESPORTSTMNT01/1304035,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1304035?gameHash=f8e3702e77f87cc7,LCK,2020,Spring,0,2020-02-08 06:53:35,1,10.02,200,Red,team,,DAMWON Gaming,,Pantheon,Akali,Elise,Zoe,Nautilus,1903,1,12,15,26,12,15,1.0,0.0,0.0,0.0,0.0,,,,0.3783,0.8513,0.0,1.0,4.0,1.0,4.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,8.0,5.0,0.0,1.0,1.0,1.0,53102,1674.2617,,2378.0242,2411.0667,126,3.9727,64,2.0179,58,272.0,8.5759,56169,35380,1115.5018,,52845.0,0.0372994,,899.0,197,139,14,34.556,15266.0,18707.0,359.0,14904.0,18530.0,302.0,362.0,177.0,57.0,23901.0,30230.0,576.0,24095.0,29750.0,486.0,-194.0,480.0,90.0,2020-02-08,06:53:35,0.2,0.0
3010,ESPORTSTMNT01/1304079,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1304079?gameHash=8339c23d8d925f8b,LCK,2020,Spring,0,2020-02-08 08:44:30,2,10.02,100,Blue,team,,DAMWON Gaming,,Pantheon,Rumble,Qiyana,Renekton,Kled,1684,1,24,8,45,24,8,4.0,2.0,0.0,0.0,1.0,,,,0.8551,1.1401,0.0,3.0,1.0,3.0,1.0,2.0,0.0,0.0,1.0,,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,1.0,1.0,1.0,0.0,69856,2488.9311,,3243.9549,3035.4869,99,3.5273,53,1.8884,38,240.0,8.5511,57883,39328,1401.2352,,50125.0,0.159978,,805.0,206,116,42,36.0214,15743.0,18573.0,322.0,14939.0,18302.0,302.0,804.0,271.0,20.0,25670.0,30438.0,512.0,22124.0,27879.0,462.0,3546.0,2559.0,50.0,2020-02-08,08:44:30,0.75,0.0
3298,ESPORTSTMNT04/1130709,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1130709?gameHash=1491ee8228ad66ec,LEC,2020,Spring,0,2020-02-08 19:48:41,1,10.02,100,Blue,team,,G2 Esports,,Sett,Ornn,Gragas,Cassiopeia,Thresh,1898,1,25,9,54,25,9,1.0,0.0,0.0,0.0,1.0,,,,0.7903,1.0748,0.0,2.0,3.0,2.0,3.0,0.0,2.0,0.0,0.0,,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,8.0,1.0,1.0,1.0,1.0,0.0,71686,2266.1538,,2889.863,2216.8072,124,3.9199,46,1.4542,40,297.0,9.3888,62638,41900,1324.5522,,51675.0,0.09108939999999999,,810.0,231,136,22,32.9083,15522.0,16058.0,275.0,13989.0,15925.0,273.0,1533.0,133.0,2.0,24410.0,27010.0,476.0,23035.0,26925.0,442.0,1375.0,85.0,34.0,2020-02-08,19:48:41,0.4,1.0
4234,ESPORTSTMNT01/1306047,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1306047?gameHash=3ec6080ed834fb7f,LCK,2020,Spring,0,2020-02-14 05:50:06,1,10.02,100,Blue,team,,DAMWON Gaming,,Pantheon,Zoe,Ornn,Jarvan IV,Elise,1948,0,0,7,0,0,7,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.2156,1.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,0.0,,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,8.0,0.0,0.0,0.0,1.0,47004,1447.7618,,1492.0842,1656.499,116,3.5729,55,1.694,49,259.0,7.9774,49286,28038,863.5934,,47750.0,-0.084925,,918.0,178,139,0,33.7577,15363.0,19074.0,366.0,15285.0,18860.0,366.0,78.0,214.0,0.0,23164.0,28590.0,553.0,23610.0,29502.0,553.0,-446.0,-912.0,0.0,2020-02-14,05:50:06,0.6,0.0
4307,ESPORTSTMNT01/1306112,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1306112?gameHash=065166ff0bf27a01,LCK,2020,Spring,0,2020-02-14 08:45:52,2,10.02,200,Red,team,,DAMWON Gaming,,Akali,Ornn,Zoe,Kalista,Xayah,1746,0,5,19,7,5,19,0.0,0.0,0.0,0.0,1.0,,,,0.1718,0.8247,1.0,1.0,3.0,1.0,3.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,9.0,0.0,0.0,0.0,1.0,49919,1715.4296,,2672.0619,1979.3814,115,3.9519,45,1.5464,44,215.0,7.3883,45407,26220,901.0309,,43760.0,-0.1489,,766.0,182,117,24,32.5773,16192.0,18492.0,316.0,16043.0,18534.0,326.0,149.0,-42.0,-10.0,23875.0,27480.0,486.0,28485.0,31602.0,498.0,-4610.0,-4122.0,-12.0,2020-02-14,08:45:52,0.25,0.0
