,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,date2,time,dragon_control,baron_control
15274,ESPORTSTMNT01/1325596,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1325596?gameHash=b92f4a4cf48c5bd2,LCK,2020,Spring,0,2020-03-28 05:31:21,1,10.05,100,Blue,team,,DAMWON Gaming,,Elise,Varus,Ornn,Ezreal,Xayah,3276,1,30,21,70,30,21,3.0,2.0,0.0,0.0,1.0,,,,0.5495,0.9341,1.0,5.0,2.0,4.0,1.0,3.0,0.0,0.0,1.0,,1.0,1.0,1.0,2.0,0.0,0.0,4.0,1.0,0.0,11.0,6.0,1.0,1.0,4.0,1.0,180100,3298.5348,,4543.2784,5581.1905,168,3.0769,85,1.5568,53,487.0,8.9194,106586,71793,1314.8901,,94825.0,-0.0265349,,1367.0,389,216,60,32.1612,15329.0,18003.0,319.0,15345.0,18819.0,334.0,-16.0,-816.0,-15.0,24769.0,30694.0,511.0,23323.0,28988.0,510.0,1446.0,1706.0,1.0,2020-03-28,05:31:21,0.7142857142857143,0.8
15359,ESPORTSTMNT01/1315538,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1315538?gameHash=8169d95e43c6c58b,LCK,2020,Spring,0,2020-03-28 07:14:18,2,10.05,200,Red,team,,DAMWON Gaming,,Aphelios,Senna,Kalista,Irelia,Azir,2016,1,21,7,43,21,7,3.0,1.0,0.0,0.0,0.0,,,,0.625,0.8333,0.0,4.0,2.0,4.0,2.0,3.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,8.0,3.0,1.0,0.0,1.0,0.0,83125,2473.9583,,2855.7738,2392.2321,112,3.3333,52,1.5476,47,267.0,7.9464,62153,40212,1196.7857,,55250.0,0.06638619999999999,,874.0,228,150,33,32.7976,15285.0,17863.0,325.0,16031.0,19202.0,339.0,-746.0,-1339.0,-14.0,23406.0,28281.0,505.0,25564.0,30287.0,517.0,-2158.0,-2006.0,-12.0,2020-03-28,07:14:18,0.6666666666666666,0.0
15551,6008-7438,complete,https://lpl.qq.com/es/stats.shtml?bmid=6008,LPL,2020,Spring,0,2020-03-28 10:48:00,1,10.05,200,Red,team,,Suning,,Kalista,Aphelios,Sett,Rumble,Nidalee,1929,0,16,17,25,16,17,0.0,0.0,0.0,0.0,0.0,,,,0.4977,1.0264,0.0,2.0,3.0,2.0,3.0,0.0,0.0,2.0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,9.0,0.0,0.0,0.0,2.0,57513,1788.8958,,3614.1524,2778.4137,138,4.2924,47,1.4619,48,250.0,7.776,54082,33028,1027.3095,,52050.0,-0.084989,,,209,146,21,,13916.0,18542.0,292.0,15423.0,19091.0,355.0,-1507.0,-549.0,-63.0,23846.0,32523.0,477.0,25465.0,29977.0,544.0,-1619.0,2546.0,-67.0,2020-03-28,10:48:00,0.4,0.0
15599,6008-7439,complete,https://lpl.qq.com/es/stats.shtml?bmid=6008,LPL,2020,Spring,0,2020-03-28 11:40:00,2,10.05,200,Red,team,,Suning,,Kalista,Aphelios,Sett,Ornn,Lucian,1484,0,18,24,28,18,24,2.0,1.0,0.0,0.0,1.0,,,,0.7278,1.6981,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,,0.0,0.0,0.0,2.0,9.0,0.0,0.0,0.0,2.0,48063,1943.248,,3946.3747,2693.3693,79,3.1941,21,0.8491,27,116.0,4.69,45022,28507,1152.5741,,43335.0,-0.05148380000000001,,,125,87,5,,14895.0,16821.0,270.0,18460.0,20207.0,322.0,-3565.0,-3386.0,-52.0,25928.0,29477.0,432.0,30417.0,33386.0,517.0,-4489.0,-3909.0,-85.0,2020-03-28,11:40:00,0.0,0.0
15694,ESPORTSTMNT05/1440187,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1440187?gameHash=b34e62e8abf0817f&amp;tab=overview,LEC,2020,Spring,0,2020-03-28 19:10:03,1,10.06,100,Blue,team,,G2 Esports,,Pantheon,Heimerdinger,Lee Sin,Camille,Zyra,1515,1,37,9,51,37,9,5.0,1.0,0.0,0.0,1.0,,,,1.4653,1.8218,1.0,3.0,0.0,3.0,0.0,1.0,1.0,0.0,1.0,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,9.0,2.0,1.0,1.0,1.0,0.0,70125,2777.2277,,3589.0297,2216.396,57,2.2574,15,0.5941,8,137.0,5.4257,51964,35133,1391.4059,,43255.0,0.178956,,500.0,179,103,29,26.8911,15797.0,19644.0,292.0,14105.0,17760.0,299.0,1692.0,1884.0,-7.0,25758.0,32342.0,468.0,21892.0,27248.0,445.0,3866.0,5094.0,23.0,2020-03-28,19:10:03,1.0,0.0
15947,6010-7442,complete,https://lpl.qq.com/es/stats.shtml?bmid=6010,LPL,2020,Spring,0,2020-03-29 08:02:00,1,10.05,200,Red,team,,Top Esports,,Aphelios,Sejuani,Sett,LeBlanc,Ornn,2341,1,12,9,31,12,9,0.0,0.0,0.0,0.0,1.0,,,,0.3076,0.5382,0.0,3.0,3.0,3.0,3.0,0.0,0.0,1.0,2.0,,0.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,10.0,6.0,1.0,1.0,2.0,1.0,120024,3076.2238,,2549.3208,2291.5335,140,3.5882,48,1.2302,46,307.0,7.8684,70272,45016,1153.7633,,61265.0,-0.014744,,,265,157,30,,16538.0,19119.0,320.0,14629.0,17718.0,302.0,1909.0,1401.0,18.0,26262.0,30302.0,522.0,22690.0,28802.0,488.0,3572.0,1500.0,34.0,2020-03-29,08:02:00,0.5,0.5
15994,6010-7443,complete,https://lpl.qq.com/es/stats.shtml?bmid=6010,LPL,2020,Spring,0,2020-03-29 09:00:00,2,10.05,100,Blue,team,,Top Esports,,LeBlanc,Sejuani,Sett,Rumble,Kassadin,1825,1,14,4,37,14,4,2.0,0.0,0.0,0.0,1.0,,,,0.4603,0.5918,0.0,3.0,1.0,3.0,1.0,0.0,2.0,1.0,0.0,,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,11.0,1.0,1.0,1.0,3.0,0.0,54976,1807.4301,,2147.0795,1562.7945,98,3.2219,40,1.3151,28,212.0,6.9699,58496,38503,1265.8521,,53725.0,0.179845,,,237,135,29,,16688.0,18432.0,329.0,14693.0,17594.0,311.0,1995.0,838.0,18.0,28138.0,29730.0,500.0,22064.0,26617.0,484.0,6074.0,3113.0,16.0,2020-03-29,09:00:00,0.75,1.0
16367,6038-7452,complete,https://lpl.qq.com/es/stats.shtml?bmid=6038,LPL,2020,Spring,0,2020-03-30 10:29:00,1,10.05,200,Red,team,,Suning,,Aphelios,Senna,Sett,Sylas,Elise,2019,0,3,17,6,3,17,0.0,0.0,0.0,0.0,0.0,,,,0.0892,0.5944,1.0,1.0,3.0,1.0,3.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,9.0,0.0,0.0,0.0,1.0,46870,1392.8678,,2682.2288,2848.7667,156,4.636,42,1.2481,51,262.0,7.786,51388,29416,874.1753,,50155.0,-0.13046300000000002,,,220,169,15,,14947.0,17768.0,329.0,15219.0,17932.0,320.0,-272.0,-164.0,9.0,24926.0,28575.0,515.0,26968.0,28146.0,472.0,-2042.0,429.0,43.0,2020-03-30,10:29:00,0.25,0.0
16390,6038-7453,complete,https://lpl.qq.com/es/stats.shtml?bmid=6038,LPL,2020,Spring,0,2020-03-30 11:20:00,2,10.05,100,Blue,team,,Suning,,Kalista,Senna,LeBlanc,Jarvan IV,Lee Sin,2098,1,9,7,21,9,7,2.0,0.0,0.0,0.0,0.0,,,,0.2574,0.4576,1.0,4.0,1.0,4.0,1.0,3.0,0.0,1.0,0.0,,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,11.0,3.0,1.0,0.0,5.0,0.0,58257,1666.0724,,2698.4557,2052.2402,135,3.8608,71,2.0305,42,298.0,8.5224,64641,41863,1197.2259,,56830.0,-0.022100400000000003,,,255,140,45,,16364.0,18886.0,349.0,17466.0,18550.0,318.0,-1102.0,336.0,31.0,25072.0,29082.0,527.0,24648.0,27880.0,496.0,424.0,1202.0,31.0,2020-03-30,11:20:00,0.8,1.0
16403,6038-7454,complete,https://lpl.qq.com/es/stats.shtml?bmid=6038,LPL,2020,Spring,0,2020-03-30 12:11:00,3,10.05,200,Red,team,,Suning,,Aphelios,Kalista,Senna,Lee Sin,LeBlanc,1730,0,3,14,5,3,14,1.0,0.0,0.0,0.0,0.0,,,,0.104,0.5896,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,9.0,0.0,0.0,0.0,2.0,31346,1087.1445,,2782.474,2218.5087,113,3.9191,45,1.5607,38,226.0,7.8382,44742,25718,891.9538,,41650.0,-0.161554,,,178,136,3,,14630.0,18275.0,316.0,15948.0,19381.0,348.0,-1318.0,-1106.0,-32.0,22699.0,29197.0,522.0,25167.0,29440.0,532.0,-2468.0,-243.0,-10.0,2020-03-30,12:11:00,0.0,0.0
16882,ESPORTSTMNT02/1332624,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1332624?gameHash=a4ae72008da86691,LCK,2020,Spring,0,2020-04-02 07:59:29,1,10.06,100,Blue,team,,DAMWON Gaming,,Elise,Varus,Trundle,Yuumi,LeBlanc,1586,1,19,6,45,19,6,3.0,0.0,0.0,0.0,1.0,,,,0.7188,0.9458,1.0,4.0,0.0,4.0,0.0,2.0,1.0,0.0,1.0,,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,10.0,0.0,1.0,1.0,2.0,0.0,59436,2248.5246,,3073.9975,2942.4212,84,3.1778,39,1.4754,33,208.0,7.8689,55295,37740,1427.7427,,50075.0,0.302564,,695.0,230,112,44,34.9937,16525.0,19001.0,324.0,15121.0,18696.0,292.0,1404.0,305.0,32.0,27536.0,31622.0,530.0,22821.0,29423.0,465.0,4715.0,2199.0,65.0,2020-04-02,07:59:29,1.0,1.0
16907,ESPORTSTMNT02/1332637,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1332637?gameHash=d25764be7782291a,LCK,2020,Spring,0,2020-04-02 09:02:19,2,10.06,200,Red,team,,DAMWON Gaming,,Sett,Elise,Taric,Rek'Sai,Morgana,1506,1,20,4,44,20,4,3.0,2.0,0.0,0.0,0.0,,,,0.7968,0.9562,1.0,4.0,0.0,4.0,0.0,2.0,1.0,1.0,0.0,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,10.0,0.0,1.0,1.0,2.0,0.0,59065,2353.1873,,2363.1474,1508.5657,75,2.988,43,1.7131,37,198.0,7.8884,52026,35287,1405.8566,,45950.0,0.317927,,665.0,191,103,22,34.1036,14736.0,18303.0,335.0,15235.0,19107.0,330.0,-499.0,-804.0,5.0,26393.0,30927.0,519.0,22401.0,27098.0,457.0,3992.0,3829.0,62.0,2020-04-02,09:02:19,1.0,1.0
16990,6046-7472,complete,https://lpl.qq.com/es/stats.shtml?bmid=6046,LPL,2020,Spring,0,2020-04-02 11:11:00,1,10.06,100,Blue,team,,Suning,,Elise,Sett,Olaf,Zoe,Mordekaiser,2397,0,16,25,38,16,25,2.0,0.0,0.0,0.0,1.0,,,,0.4005,1.0263,0.0,3.0,3.0,3.0,3.0,0.0,1.0,0.0,2.0,,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,6.0,9.0,1.0,1.0,1.0,1.0,134133,3357.5219,,3513.9675,4216.8711,143,3.5795,71,1.7772,59,328.0,8.2103,64062,38235,957.0713,,62870.0,-0.0192967,,,243,146,34,,15275.0,16043.0,275.0,16531.0,16738.0,264.0,-1256.0,-695.0,11.0,23510.0,25312.0,427.0,24377.0,25572.0,412.0,-867.0,-260.0,15.0,2020-04-02,11:11:00,0.5,0.0
16991,6046-7472,complete,https://lpl.qq.com/es/stats.shtml?bmid=6046,LPL,2020,Spring,0,2020-04-02 11:11:00,1,10.06,200,Red,team,,Top Esports,,Aphelios,Renekton,Sejuani,Kassadin,Aatrox,2397,1,25,16,83,25,16,3.0,1.0,0.0,0.0,0.0,,,,0.6258,1.0263,1.0,3.0,3.0,3.0,3.0,0.0,0.0,1.0,2.0,,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,9.0,6.0,0.0,0.0,1.0,1.0,109649,2744.6558,,4208.9862,4460.7009,145,3.6295,70,1.7522,52,332.0,8.3104,74000,48173,1205.8323,,64095.0,0.0192967,,,204,141,10,,16531.0,16738.0,264.0,15275.0,16043.0,275.0,1256.0,695.0,-11.0,24377.0,25572.0,412.0,23510.0,25312.0,427.0,867.0,260.0,-15.0,2020-04-02,11:11:00,0.5,1.0
17014,6046-7473,complete,https://lpl.qq.com/es/stats.shtml?bmid=6046,LPL,2020,Spring,0,2020-04-02 12:11:00,2,10.06,100,Blue,team,,Top Esports,,Kassadin,Ornn,Tahm Kench,Thresh,Taric,2394,0,17,18,34,17,18,1.0,0.0,0.0,0.0,1.0,,,,0.4261,0.8772,1.0,4.0,2.0,4.0,0.0,2.0,0.0,1.0,1.0,,0.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,5.0,8.0,1.0,1.0,0.0,2.0,79846,2001.1529,,2677.9699,2895.188,139,3.4837,73,1.8296,41,294.0,7.3684,67118,41321,1035.614,,67150.0,0.040258300000000004,,,247,164,29,,16828.0,17961.0,299.0,15824.0,17909.0,323.0,1004.0,52.0,-24.0,26343.0,29887.0,506.0,23502.0,28261.0,521.0,2841.0,1626.0,-15.0,2020-04-02,12:11:00,0.6666666666666666,0.0
17015,6046-7473,complete,https://lpl.qq.com/es/stats.shtml?bmid=6046,LPL,2020,Spring,0,2020-04-02 12:11:00,2,10.06,200,Red,team,,Suning,,Sett,Elise,Varus,Ekko,LeBlanc,2394,1,18,17,48,18,17,2.0,0.0,0.0,0.0,0.0,,,,0.4511,0.8772,0.0,2.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,8.0,5.0,0.0,0.0,2.0,0.0,69325,1737.4687,,2623.5589,3024.4862,190,4.7619,69,1.7293,60,384.0,9.6241,73249,47452,1189.2732,,64500.0,-0.040258300000000004,,,249,161,31,,15824.0,17909.0,323.0,16828.0,17961.0,299.0,-1004.0,-52.0,24.0,23502.0,28261.0,521.0,26343.0,29887.0,506.0,-2841.0,-1626.0,15.0,2020-04-02,12:11:00,0.3333333333333333,1.0
17026,6046-7474,complete,https://lpl.qq.com/es/stats.shtml?bmid=6046,LPL,2020,Spring,0,2020-04-02 13:09:00,3,10.06,100,Blue,team,,Suning,,Elise,Sett,Olaf,Zoe,Lissandra,1953,0,7,27,14,7,27,0.0,0.0,0.0,0.0,0.0,,,,0.2151,1.0445,1.0,1.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,,0.0,0.0,1.0,2.0,11.0,0.0,0.0,0.0,3.0,63798,1960.0,,3773.3641,3017.2043,110,3.3794,65,1.9969,44,242.0,7.4347,51860,30561,938.894,,50025.0,-0.13600399999999999,,,149,97,16,,15213.0,18869.0,333.0,15461.0,18541.0,317.0,-248.0,328.0,16.0,23493.0,28641.0,529.0,26273.0,30524.0,508.0,-2780.0,-1883.0,21.0,2020-04-02,13:09:00,0.3333333333333333,0.0
17027,6046-7474,complete,https://lpl.qq.com/es/stats.shtml?bmid=6046,LPL,2020,Spring,0,2020-04-02 13:09:00,3,10.06,200,Red,team,,Top Esports,,Aphelios,Lee Sin,,Kassadin,Azir,1953,1,27,7,61,27,7,2.0,0.0,0.0,0.0,1.0,,,,0.8295,1.0445,0.0,2.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,,0.0,0.0,1.0,2.0,0.0,,0.0,0.0,0.0,11.0,2.0,1.0,1.0,3.0,0.0,91011,2796.0369,,3024.0246,2888.3564,128,3.9324,59,1.8126,39,302.0,9.278,63804,42505,1305.8372,,57325.0,0.13600399999999999,,,238,120,61,,15461.0,18541.0,317.0,15213.0,18869.0,333.0,248.0,-328.0,-16.0,26273.0,30524.0,508.0,23493.0,28641.0,529.0,2780.0,1883.0,-21.0,2020-04-02,13:09:00,0.6666666666666666,0.0
17447,ESPORTSTMNT02/1323134,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1323134?gameHash=5a6bdf70f4b214c6,LCK,2020,Spring,0,2020-04-03 11:02:03,1,10.06,200,Red,team,,DAMWON Gaming,,Sett,Elise,Taric,Blitzcrank,Rumble,2500,1,16,9,37,16,9,2.0,0.0,0.0,0.0,1.0,,,,0.384,0.6,1.0,4.0,2.0,4.0,2.0,0.0,1.0,1.0,2.0,,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,10.0,3.0,0.0,1.0,1.0,0.0,82522,1980.528,,2676.384,3128.04,151,3.624,79,1.896,68,364.0,8.736,74673,47795,1147.08,,67650.0,0.06991510000000001,,1071.0,230,137,20,31.224,15603.0,17713.0,298.0,15367.0,17431.0,302.0,236.0,282.0,-4.0,24492.0,28304.0,504.0,23509.0,27586.0,484.0,983.0,718.0,20.0,2020-04-03,11:02:03,0.6666666666666666,1.0
17494,ESPORTSTMNT02/1323169,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1323169?gameHash=747b510ccfe4aab5,LCK,2020,Spring,0,2020-04-03 12:46:42,2,10.06,100,Blue,team,,DAMWON Gaming,,Elise,Varus,Trundle,Lee Sin,Sylas,2619,1,21,11,54,21,11,4.0,1.0,0.0,0.0,0.0,,,,0.4811,0.7331,1.0,4.0,3.0,4.0,3.0,2.0,1.0,0.0,1.0,,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,8.0,6.0,1.0,0.0,2.0,1.0,97191,2226.5979,,2116.9759,2771.8442,161,3.6884,75,1.7182,76,375.0,8.5911,77524,49432,1132.4628,,71145.0,0.0470436,,952.0,273,165,39,28.0641,17476.0,19518.0,345.0,16363.0,18272.0,317.0,1113.0,1246.0,28.0,25212.0,28155.0,505.0,24199.0,26779.0,468.0,1013.0,1376.0,37.0,2020-04-03,12:46:42,0.5714285714285714,0.6666666666666666
17542,ESPORTSTMNT05/1430374,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1430374?gameHash=f639ffa5c5f6ba71,LEC,2020,Spring,1,2020-04-03 15:24:50,1,10.06,100,Blue,team,,G2 Esports,,LeBlanc,Taric,Renekton,Ornn,Qiyana,2151,0,17,27,36,17,27,1.0,0.0,0.0,0.0,1.0,,,,0.4742,1.2273,1.0,2.0,3.0,2.0,3.0,0.0,0.0,1.0,1.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,5.0,11.0,1.0,1.0,0.0,4.0,102391,2856.0948,,3917.8801,4666.8619,145,4.0446,39,1.0879,51,237.0,6.6109,63906,40588,1132.1618,,60465.0,-0.0643457,,897.0,226,163,18,31.325,15918.0,18081.0,322.0,16435.0,18054.0,295.0,-517.0,27.0,27.0,26970.0,29526.0,517.0,26408.0,28699.0,476.0,562.0,827.0,41.0,2020-04-03,15:24:50,0.4,0.0
17566,ESPORTSTMNT05/1440414,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1440414?gameHash=72be0a2e2f5d5704,LEC,2020,Spring,1,2020-04-03 16:17:23,2,10.06,100,Blue,team,,G2 Esports,,LeBlanc,Renekton,Kalista,Lee Sin,Gragas,2062,1,28,17,67,28,17,2.0,0.0,0.0,0.0,1.0,,,,0.8147,1.3094,1.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,0.0,,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,11.0,3.0,1.0,1.0,2.0,0.0,128909,3750.9893,,3608.7294,3767.4588,102,2.968,44,1.2803,37,273.0,7.9437,68281,45871,1334.7527,,63258.0,0.133617,,838.0,220,127,29,30.7856,17252.0,18105.0,312.0,13595.0,16366.0,276.0,3657.0,1739.0,36.0,26726.0,28499.0,489.0,22166.0,27427.0,454.0,4560.0,1072.0,35.0,2020-04-03,16:17:23,0.6,1.0
17590,ESPORTSTMNT05/1430381,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1430381?gameHash=a2898736a9e16509,LEC,2020,Spring,1,2020-04-03 17:02:16,3,10.06,100,Blue,team,,G2 Esports,,LeBlanc,Renekton,Kalista,Yuumi,Gangplank,2459,0,15,20,29,15,20,2.0,0.0,0.0,0.0,0.0,,,,0.366,0.854,0.0,1.0,5.0,1.0,4.0,0.0,0.0,1.0,0.0,,0.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,8.0,8.0,0.0,1.0,1.0,1.0,71125,1735.4616,,3118.414,3701.3583,181,4.4164,73,1.7812,58,400.0,9.7601,73504,47044,1147.8813,,69825.0,-0.00888268,,1058.0,278,170,48,32.5986,14344.0,16862.0,290.0,15741.0,17343.0,284.0,-1397.0,-481.0,6.0,22606.0,26639.0,463.0,24883.0,27617.0,468.0,-2277.0,-978.0,-5.0,2020-04-03,17:02:16,0.16666666666666666,0.5
17603,ESPORTSTMNT05/1430382,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1430382?gameHash=464b39bcbabd2511,LEC,2020,Spring,1,2020-04-03 17:55:29,4,10.06,200,Red,team,,G2 Esports,,Kalista,Senna,Syndra,Gragas,Taliyah,1529,1,16,12,45,16,12,3.0,1.0,0.0,0.0,0.0,,,,0.6279,1.0595,1.0,2.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,10.0,4.0,0.0,0.0,2.0,0.0,48070,1886.3309,,2602.3283,1842.4591,92,3.6102,23,0.9026,35,151.0,5.9254,48199,31225,1225.3107,,41583.0,-0.046049400000000004,,620.0,143,109,9,29.9411,14399.0,16832.0,283.0,18162.0,19416.0,292.0,-3763.0,-2584.0,-9.0,23774.0,28088.0,447.0,28527.0,28698.0,444.0,-4753.0,-610.0,3.0,2020-04-03,17:55:29,0.6666666666666666,1.0
17614,ESPORTSTMNT05/1440415,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1440415?gameHash=7c456ac3b113cb4e,LEC,2020,Spring,1,2020-04-03 19:31:57,5,10.06,100,Blue,team,,G2 Esports,,Renekton,Lee Sin,Ornn,Lucian,Irelia,2334,0,13,34,23,13,34,0.0,0.0,0.0,0.0,1.0,,,,0.3342,1.2082,0.0,0.0,5.0,0.0,4.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,8.0,8.0,1.0,1.0,2.0,1.0,80154,2060.5141,,3112.0566,2219.3316,142,3.6504,47,1.2082,60,303.0,7.7892,63421,38236,982.9306,,62310.0,-0.141456,,850.0,230,145,31,27.7635,15797.0,17182.0,285.0,14939.0,17120.0,275.0,858.0,62.0,10.0,26011.0,26561.0,418.0,26564.0,29682.0,442.0,-553.0,-3121.0,-24.0,2020-04-03,19:31:57,0.0,0.0
18166,ESPORTSTMNT02/1333684,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1333684?gameHash=a7ad0cfd9bf9c8cc,LCK,2020,Spring,0,2020-04-05 05:03:08,1,10.06,100,Blue,team,,DAMWON Gaming,,LeBlanc,Varus,Olaf,Taric,Thresh,1544,1,10,6,17,10,6,0.0,0.0,0.0,0.0,1.0,,,,0.3886,0.6218,1.0,4.0,0.0,4.0,0.0,0.0,1.0,1.0,2.0,,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,9.0,0.0,1.0,1.0,1.0,0.0,38898,1511.5803,,2843.7824,2515.1036,82,3.1865,40,1.5544,30,198.0,7.6943,49042,31915,1240.2202,,40945.0,0.0736895,,707.0,199,99,25,35.2073,16649.0,19444.0,335.0,14593.0,17429.0,306.0,2056.0,2015.0,29.0,25474.0,30882.0,516.0,22691.0,28575.0,496.0,2783.0,2307.0,20.0,2020-04-05,05:03:08,1.0,1.0
18191,ESPORTSTMNT02/1333728,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1333728?gameHash=b90de3d8cb437116,LCK,2020,Spring,0,2020-04-05 06:44:45,2,10.06,200,Red,team,,DAMWON Gaming,,Sett,Aphelios,Olaf,Thresh,Rumble,1898,1,17,7,45,17,7,3.0,1.0,0.0,0.0,0.0,,,,0.5374,0.7587,0.0,4.0,1.0,4.0,1.0,0.0,0.0,3.0,1.0,,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,9.0,0.0,1.0,1.0,2.0,0.0,67862,2145.2687,,2607.6923,2112.2972,107,3.3825,63,1.9916,39,305.0,9.6417,62398,41660,1316.9652,,54006.0,0.0805347,,869.0,257,158,40,35.5954,16197.0,18163.0,275.0,15049.0,17191.0,287.0,1148.0,972.0,-12.0,25598.0,30274.0,491.0,23285.0,29170.0,510.0,2313.0,1104.0,-19.0,2020-04-05,06:44:45,0.8,0.0
18659,6056-7496,complete,https://lpl.qq.com/es/stats.shtml?bmid=6056,LPL,2020,Spring,0,2020-04-06 06:16:00,1,10.06,200,Red,team,,Suning,,LeBlanc,Sett,Aphelios,Gragas,Elise,1442,1,27,9,64,27,9,7.0,1.0,0.0,0.0,1.0,,,,1.1234,1.4979,0.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,9.0,1.0,1.0,1.0,2.0,0.0,61156,2544.6325,,3502.3024,2960.43,87,3.62,29,1.2067,31,179.0,7.448,51779,35693,1485.1456,,42425.0,0.16178299999999998,,,127,80,20,,17467.0,18380.0,292.0,16652.0,17525.0,294.0,815.0,855.0,-2.0,25237.0,28497.0,486.0,24709.0,27532.0,474.0,528.0,965.0,12.0,2020-04-06,06:16:00,0.3333333333333333,1.0
