gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
ESPORTSTMNT01/1302635,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1302635?gameHash=5625553825f5994e,LCK,2020,Spring,0,2/5/2020 10:14,3,10.02,6,Red,top,Nuguri,DAMWON Gaming,Kayle,Rek'Sai,Elise,Akali,Nautilus,LeBlanc,2837,0,1,1,3,7,9,0,0,0,0,0,0,0,1,0.148,0.3384,,,,,,,,,,,,,,,,,,,,,,,,0,0,11678,246.9792,0.262823,263.8562,486.9369,18,0.3807,22,0.4653,3,69,1.4593,20570,14507,306.81,0.279046,19325,,481,425,56,27,15,10.1727,2997,4417,73,3320,4711,89,-323,-294,-16,4730,7102,123,5608,7555,144,-878,-453,-21
ESPORTSTMNT01/1302635,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1302635?gameHash=5625553825f5994e,LCK,2020,Spring,0,2/5/2020 10:14,3,10.02,7,Red,jng,Canyon,DAMWON Gaming,Lee Sin,Rek'Sai,Elise,Akali,Nautilus,LeBlanc,2837,0,0,2,6,7,9,0,0,0,0,0,0,0,0,0.148,0.3384,,,,,,,,,,,,,,,,,,,,,,,,0,0,4377,92.5696,0.0985079,665.5622,895.8759,40,0.846,20,0.423,25,76,1.6073,12314,6251,132.203,0.120239,12050,,196,28,168,108,11,4.1452,2960,2923,61,3563,3534,67,-603,-611,-6,4503,4682,90,4979,5336,91,-476,-654,-1
ESPORTSTMNT01/1302635,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1302635?gameHash=5625553825f5994e,LCK,2020,Spring,0,2/5/2020 10:14,3,10.02,8,Red,mid,ShowMaker,DAMWON Gaming,Orianna,Rek'Sai,Elise,Akali,Nautilus,LeBlanc,2837,0,3,1,3,7,9,0,0,0,0,0,0,0,0,0.148,0.3384,,,,,,,,,,,,,,,,,,,,,,,,0,1,9033,191.0398,0.203295,203.835,191.2302,29,0.6133,11,0.2326,10,57,1.2055,17976,11913,251.9492,0.229149,18300,,408,376,32,24,4,8.6288,3321,4568,91,4523,4777,89,-1202,-209,2,5493,7415,137,7057,7382,135,-1564,33,2
ESPORTSTMNT01/1302635,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1302635?gameHash=5625553825f5994e,LCK,2020,Spring,0,2/5/2020 10:14,3,10.02,9,Red,bot,Nuclear,DAMWON Gaming,Aphelios,Rek'Sai,Elise,Akali,Nautilus,LeBlanc,2837,0,3,0,3,7,9,0,0,0,0,0,0,0,0,0.148,0.3384,,,,,,,,,,,,,,,,,,,,,,,,0,1,16158,341.7272,0.363649,84.3003,360.3384,17,0.3595,21,0.4441,6,61,1.2901,21099,15036,317.9979,0.289221,21300,,489,462,27,23,0,10.3419,3535,3340,94,3156,2993,80,379,347,14,5483,5534,137,5555,5477,136,-72,57,1
ESPORTSTMNT01/1302635,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1302635?gameHash=5625553825f5994e,LCK,2020,Spring,0,2/5/2020 10:14,3,10.02,10,Red,sup,BeryL,DAMWON Gaming,Thresh,Rek'Sai,Elise,Akali,Nautilus,LeBlanc,2837,0,0,5,7,7,9,0,0,0,0,0,0,0,0,0.148,0.3384,,,,,,,,,,,,,,,,,,,,,,,,0,0,3187,67.4022,0.071726,347.6701,425.7314,105,2.2207,38,0.8037,36,155,3.2781,10344,4281,90.5393,0.082345,9775,,63,63,0,0,0,1.3324,2325,2800,14,1912,2433,9,413,367,5,3365,3787,20,3134,4051,16,231,-264,4
ESPORTSTMNT01/1304035,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1304035?gameHash=f8e3702e77f87cc7,LCK,2020,Spring,0,2/8/2020 6:53,1,10.02,6,Red,top,Nuguri,DAMWON Gaming,Ryze,Pantheon,Akali,Elise,Zoe,Nautilus,1903,1,7,2,2,12,15,1,0,0,0,0,0,0,1,0.3783,0.8513,,,,,,,,,,,,,,,,,,,,,,,,1,0,26511,835.8697,0.499247,587.01,394.4298,17,0.536,3,0.0946,7,33,1.0405,16070,11912,375.5754,0.336691,14435,,342,315,27,17,5,10.783,3408,5102,95,3236,4359,64,172,743,31,5333,7626,143,4992,7183,115,341,443,28
ESPORTSTMNT01/1304035,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1304035?gameHash=f8e3702e77f87cc7,LCK,2020,Spring,0,2/8/2020 6:53,1,10.02,7,Red,jng,Canyon,DAMWON Gaming,Jarvan IV,Pantheon,Akali,Elise,Zoe,Nautilus,1903,1,0,2,9,12,15,0,0,0,0,0,0,0,0,0.3783,0.8513,,,,,,,,,,,,,,,,,,,,,,,,0,0,4033,127.1571,0.0759482,723.5943,884.866,16,0.5045,27,0.8513,17,70,2.207,9152,4994,157.4566,0.14116,8625,,158,38,120,75,9,4.9816,2963,2865,61,3223,3259,62,-260,-394,-1,4608,5262,106,4693,5129,91,-85,133,15
ESPORTSTMNT01/1304035,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1304035?gameHash=f8e3702e77f87cc7,LCK,2020,Spring,0,2/8/2020 6:53,1,10.02,8,Red,mid,ShowMaker,DAMWON Gaming,LeBlanc,Pantheon,Akali,Elise,Zoe,Nautilus,1903,1,2,4,5,12,15,0,0,0,0,0,0,0,0,0.3783,0.8513,,,,,,,,,,,,,,,,,,,,,,,,0,0,12484,393.6101,0.235095,425.6437,299.1172,20,0.6306,8,0.2522,9,36,1.135,10206,6048,190.6884,0.17095,10010,,226,214,12,9,0,7.1256,3395,4904,97,3005,4612,73,390,292,24,5209,7657,152,5102,7534,121,107,123,31
ESPORTSTMNT01/1304035,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1304035?gameHash=f8e3702e77f87cc7,LCK,2020,Spring,0,2/8/2020 6:53,1,10.02,9,Red,bot,Nuclear,DAMWON Gaming,Xayah,Pantheon,Akali,Elise,Zoe,Nautilus,1903,1,3,3,3,12,15,0,0,0,0,0,0,0,0,0.3783,0.8513,,,,,,,,,,,,,,,,,,,,,,,,0,0,7481,235.8697,0.14088,338.2133,292.3699,16,0.5045,11,0.3468,6,43,1.3558,13881,9723,306.5581,0.274821,13700,,334,296,38,38,0,10.5307,3387,3066,93,3317,3246,89,70,-180,4,5680,5741,155,5521,5272,137,159,469,18
ESPORTSTMNT01/1304035,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1304035?gameHash=f8e3702e77f87cc7,LCK,2020,Spring,0,2/8/2020 6:53,1,10.02,10,Red,sup,BeryL,DAMWON Gaming,Rakan,Pantheon,Akali,Elise,Zoe,Nautilus,1903,1,0,4,7,12,15,0,0,0,0,0,0,0,0,0.3783,0.8513,,,,,,,,,,,,,,,,,,,,,,,,0,0,2593,81.7551,0.0488306,303.5628,540.2838,57,1.7972,15,0.4729,19,90,2.8376,6860,2702,85.1918,0.0763779,6075,,36,36,0,0,0,1.135,2113,2770,13,2123,3054,14,-10,-284,-1,3071,3944,20,3787,4632,22,-716,-688,-2
